user_id,sex,bdate,city
9542657,1,16.3,Екатеринбург
9556359,1,30.7,Unknown
9588707,1,23.11,Липецк
9589201,1,,Unknown
9622321,1,,Санкт-Петербург
9829819,2,11.9,Москва
9862478,1,,Челябинск
9871861,1,24.5,Санкт-Петербург
9921417,1,24.11.1989,Москва
10009896,2,26.2.1983,Николаев
10010099,2,,Москва
10109783,1,8.6.1990,Самара
10156858,1,24.1,Екатеринбург
10165673,2,6.8,Unknown
10217109,2,16.5,Unknown
10218512,1,,Екатеринбург
10250749,2,,Севастополь
10311794,1,4.7,Екатеринбург
10313336,2,25.2,Краматорск
10346398,2,,Кемерово
10378314,1,10.6,Днепр (Днепропетровск)
10386436,1,22.5.1982,Москва
10390667,2,30.10,Петрозаводск
10427580,2,22.7,Москва
10443412,1,18.8,Челябинск
10460055,2,14.4,Красногорск
10470349,1,26.2.1990,Unknown
10485674,1,,Unknown
10689384,2,17.8,Горький
10725682,1,21.6.1990,Unknown
10727496,1,,Москва
10763180,2,,Севастополь
10783194,1,21.6,Челябинск
10834491,1,,Пушкин
10874713,1,31.7,Самара
10884283,2,,Красноярск
10955026,2,14.8.1991,Асбест
11015297,2,1.11,Калининград
11024456,2,,Москва
11139043,2,18.11,Чернигов
11148390,1,8.7.1993,Екатеринбург
11169955,1,,Москва
11209663,1,28.7,Санкт-Петербург
11360681,1,9.2,Ялта
11399915,1,,Сочи
11405177,1,18.6,Москва
11407176,1,19.8.1967,Люберцы
11444310,2,1.11,Москва
11599646,1,31.1,Unknown
11602135,1,28.2,Омск
11624516,1,,Unknown
11653796,1,23.6,Рыбинск
11688390,2,13.12,Ачинск
11721099,1,26.11,Москва
11740653,1,22.1.1988,Москва
11834386,1,1.6,Тверь
11858404,2,17.9.1995,Армавир
11888586,1,22.1,Солнечногорск
11934893,2,26.10.1971,Сургут
11968844,2,,Unknown
12125290,2,,Unknown
12142742,1,3.9.1987,Курск
12157043,1,1.5,Чебаркуль
12162934,1,7.3,Москва
12294060,2,,Тула
12432043,1,,Новосибирск
12474670,1,,Иваново
12522169,2,,Днепр (Днепропетровск)
12552125,2,2.11.1988,Одесса
12633697,1,12.2,Санкт-Петербург
12693166,1,,Unknown
12757024,2,25.6.1965,Москва
12758095,1,23.1.1986,Санкт-Петербург
12764958,1,,Тюмень
12807343,2,,Unknown
12842530,1,22.8,Пермь
12847979,1,8.3,Санкт-Петербург
12860548,1,,Екатеринбург
12888417,1,,Unknown
12930566,1,1.10.1986,Москва
13009281,1,8.10,Уфа
13042034,1,23.1,Гомель
13091142,1,28.2,Кемерово
13096121,2,,Мескашор
13170188,1,24.6,Нижний Новгород
13254295,2,17.5.1917,Unknown
13382968,2,28.1.1977,Калининград
13389675,1,,Санкт-Петербург
13473114,1,20.9,Таганрог
13542906,2,,Воскресенск
13635148,1,8.10,Сочи
13670241,1,,Unknown
13687266,2,4.11.1984,Астрахань
13736578,1,,Москва
13752968,2,,Tokyo
13826670,1,5.8,Запорожье
13846260,1,29.6,Великий Новгород
13887373,2,2.7.1978,Ярославль
13994125,2,,Unknown
13994208,1,,Unknown
14026392,2,,Unknown
14038691,2,13.5,Кострома
14048494,1,,Донецк
14149674,1,12.6,Пермь
14223030,1,,Пушкинские Горы
14232143,1,27.2,Гатчина
14249613,2,7.8.1990,Unknown
14257314,2,,Unknown
14270791,2,9.12,Ростов-на-Дону
14323444,1,,Москва
14440192,1,4.2,Екатеринбург
14552794,1,2.7,Верхняя Салда
14647123,1,23.7.1988,Москва
14669974,1,28.9,Москва
14826967,2,10.3.1980,Unknown
14834824,2,2.10,Саранск
14873410,2,8.9.1982,Пермь
14939951,1,,Москва
15016287,2,6.2.1988,Нижний Новгород
15088523,2,3.9,Москва
15127125,1,,Москва
15201113,1,23.1,Брест
15219982,1,,Новосибирск
15239032,2,,Екатеринбург
15286559,2,7.7,Челябинск
15394719,2,,Томск
15405242,2,7.2.1987,Кулебаки
15429181,1,24.6,Unknown
15442085,2,14.3.1989,Самара
15457416,2,13.11.1980,Ульяновск
15486476,1,29.7,Unknown
15558108,2,,Феодосия
15560025,1,17.3,Unknown
15600299,2,28.5.1984,Unknown
15721498,1,,Иваново
15839643,2,15.2.1987,Донецк
15839825,2,20.4,Одесса
15865867,1,27.5.1988,Челябинск
15945385,1,30.10,Unknown
16055005,1,17.9,Псков
16177328,2,,Unknown
16185553,1,,Unknown
16194357,1,20.1,Осинники
16276947,1,,Formentera de Segura
16462794,1,10.6,Москва
16467486,2,1.1,Екатеринбург
16493863,2,4.5.1983,Москва
16514544,1,24.9,Москва
16516188,2,31.7,Брянск
16517959,2,14.10,Владивосток
16526035,2,22.3.1982,Тюмень
16561833,1,,Unknown
16689895,2,18.8.1968,Москва
16722778,2,,Калуга
16740686,2,,Северодонецк
16774535,2,,Великие Луки
16843779,1,,Санкт-Петербург
17013751,2,,Москва
17077213,2,,Unknown
17115881,2,4.8.1976,Екатеринбург
17115942,1,,Москва
17293788,2,17.6.1983,Екатеринбург
17297360,2,2.12,Unknown
17352920,1,,Екатеринбург
17366759,1,,Самара
17395271,2,23.1,Минск
17409763,1,,Unknown
17460293,1,16.7,Москва
17613850,1,1.4,Unknown
17626808,2,14.3,Unknown
17634925,1,21.6,Pattaya
17639058,2,16.5.1985,Урай
17710661,2,20.6.1989,Москва
17759889,2,,Йошкар-Ола
17772749,2,19.7.1986,Unknown
17781290,2,,Махачкала
17815922,2,19.1,Евпатория
17819056,2,13.10,Апатиты
17899476,2,8.6.1979,Москва
18104658,2,,Unknown
18217302,2,,Брянск
18226311,2,,Челябинск
18321888,2,21.6.1977,Запорожье
18423048,2,27.8.1988,Москва
18440863,2,,Чебоксары
18441627,1,12.5.1984,Саратов
18681383,1,14.9,Unknown
18748728,2,23.6,Санкт-Петербург
18830921,1,,Unknown
19222877,1,24.4,Рига
19304603,1,8.8,Пермь
19346515,2,,Бузулук
19516593,2,,Нижний Новгород
19633203,1,,Unknown
19635260,2,,Певек
19761002,2,,Unknown
19777508,2,,Москва
19786221,1,7.1,Екатеринбург
19890822,2,,Москва
19930888,1,,Самара
19953980,2,8.12,Саранск
20029729,1,,Москва
20056189,1,,Unknown
20073611,1,,Нижневартовск
20078287,2,8.10.1988,Верхняя Салда
20290241,2,25.1,Екатеринбург
20365892,2,19.2.1991,Москва
20447850,2,3.2.1991,Владивосток
20455231,2,24.9,Москва
20457134,2,,Unknown
20590148,1,,Санкт-Петербург
20718174,1,7.9,Москва
20783310,1,,Раменское
20884754,1,6.5,Нижний Новгород
21080656,2,28.12,Протвино
21092655,2,17.2.1991,Unknown
21153800,2,17.2.1990,Москва
21162678,1,10.5,Екатеринбург
21178460,1,20.4.1981,Москва
21210510,2,,Санкт-Петербург
21230934,2,2.6.1973,Новохаритоново
21250291,1,,Ростов-на-Дону
21255301,2,,Санкт-Петербург
21285677,2,,Москва
21424160,2,,Warszawa
21535966,1,20.3.1988,Unknown
21559668,1,,Ставрополь
21768298,2,,Москва
21785992,1,22.6,Северодвинск
21906411,1,19.1,Самара
22117031,1,,Unknown
22230206,1,,Калининград
22256153,2,30.6,Unknown
22355190,2,,Unknown
22557017,1,3.11,Пермь
22583476,2,4.8.1965,Мытищи
22621912,2,27.3.1987,Томск
22729408,1,2.4.1989,Пермь
22856010,1,22.2.1968,Уфа
22876883,2,11.10.1982,Stockholm
23045650,2,29.4,Unknown
23124900,1,8.9.1984,Самара
23195940,2,10.4,Санкт-Петербург
23202224,1,31.12.1983,Los Angeles
23260189,1,28.2.1985,Unknown
23440598,2,25.12,Москва
23574808,2,1.11,Пенза
23584201,2,,Киев
23694497,2,,Unknown
23755292,2,,Анапа
23828263,2,,Москва
23864630,2,6.7.1982,Коломна
23976403,2,,Москва
24013845,2,30.3.1977,Сыктывкар
24187086,1,19.8,Санкт-Петербург
24255287,1,1.11,Сочи
24451491,2,11.3,Unknown
24622519,2,,Воронеж
24876970,2,21.11,Unknown
24937025,2,15.7.1989,Омск
24952412,1,,Екатеринбург
25004333,1,,Unknown
25057816,1,6.6.1991,Unknown
25169821,2,,Мурманск
25234145,1,15.12.1960,Киров
25529125,1,19.9,Unknown
25698684,2,,Луганск
25835408,1,28.3,Бердск
25866693,2,,Unknown
25940866,1,21.11,Челябинск
25963269,1,21.7.1959,Барановичи
25964231,1,27.5,Unknown
26069338,2,19.11.1987,Ужгород
26225462,1,23.4,Новосибирск
26225983,2,,Unknown
26278268,1,20.12.1982,Санкт-Петербург
26433726,2,,Новосибирск
26524768,1,,Ростов-на-Дону
26570190,2,,Unknown
26637358,2,19.12,Санкт-Петербург
26679213,2,18.12,Москва
26749421,1,10.9.1980,Дубна
26804660,1,11.1,Дмитров
26934200,1,26.4,Сергиев Посад
27071934,1,,Санкт-Петербург
27119048,1,,Unknown
27121551,2,,Unknown
27136074,2,6.1.1971,Москва
27148914,1,2.6.1978,Конаев / Капшагай
27220724,2,8.3.1986,Красноярск
27258535,2,,Одесса
27319950,1,31.3.1984,Екатеринбург
27479093,1,19.2,Обнинск
27530155,1,,Ульяновск
27629492,1,1.10,Донецк
27741239,2,23.12,Санкт-Петербург
27869658,1,,Unknown
27916137,1,1.6,Luzern
27964456,1,,Москва
28019187,1,5.9,Москва
28026003,2,,Новосибирск
28071283,2,2.9,Unknown
28447966,2,1.9,Белгород
28569763,2,2.5.1982,Давлеканово
28626316,2,6.11.1982,Иваново
28691266,1,6.3,Кольчугино
28818233,2,,Москва
28902454,2,10.10,Байконур
29030189,1,19.11,Екатеринбург
29195921,2,16.4.1980,Москва
29263672,2,,Нарва
29315107,2,2.6.1971,Барнаул
29428704,2,20.12.1985,Киев
29512068,2,20.12.1983,Челябинск
29599153,1,26.7,Тюмень
29680664,1,22.12.1987,Шаховская
29691578,1,,Кинешма
29765899,1,30.12.1986,Москва
29798239,1,5.9.1974,Санкт-Петербург
29904000,2,3.2.1976,Вологда
29911246,2,17.9.1986,Воронеж
29918218,1,7.8,Екатеринбург
29933905,2,12.8,Екатеринбург
30043970,1,12.8,Красноярск
30329605,1,14.10.1974,Калуга
30431578,2,12.6,Вологда
30433686,1,25.10,Пермь
30439182,2,,Unknown
30514899,2,,Казань
30522536,1,15.5,Unknown
30574472,1,,Москва
30736214,2,,Волгоград
30795803,1,18.7.1995,Санкт-Петербург
31252777,1,,Москва
31546126,1,,Санкт-Петербург
31582863,1,,Москва
31650225,2,9.8.1974,Сургут (поселок)
31661046,2,1.3.1975,Москва
31718099,1,,Москва
31841337,1,27.10.1980,Железногорск
31882954,1,1.10,Киев
31901685,2,30.11.1990,Unknown
32007838,1,8.8,Одесса
32014294,1,30.4.1973,Красноярск
32122409,2,29.10.1987,Иркутский
32160579,1,,Санкт-Петербург
32261911,1,24.2,Санкт-Петербург
32296579,1,,Челябинск
32383551,2,30.8,Минск
32409741,2,9.2,Белгород
32624826,2,13.1,Пинск
32704512,1,16.10,Челябинск
32730817,1,19.4.1986,London
32735264,2,,Unknown
32762529,1,,Томск
32785555,1,,Донецк
32823852,1,5.1,Красноярск
32927245,2,3.1.1989,Unknown
32988449,1,,Unknown
32995507,1,27.3,Unknown
33218203,1,,Unknown
33437070,2,15.2.1978,Самара
33483462,1,10.10,Unknown
33553209,1,19.7,Санкт-Петербург
33781588,1,30.8.1985,Москва
34127544,2,25.4.1986,Днепрорудное
34131956,1,14.1,Pai
34223637,1,6.11,Балашиха
34310632,2,,Краснодар
34320490,1,,Unknown
34336230,1,,Новокузнецк
34495269,1,27.6,Москва
34501912,1,26.5.1979,Полтавская
34860952,1,8.12,Москва
34871682,1,26.11.1985,Ялта
35127888,2,,Курган
35166385,1,,Санкт-Петербург
35231300,2,4.1,Волгоград
35344373,2,14.9.1981,Москва
35428778,1,3.6.1962,Оленегорск
35683751,1,1.4.2007,Вижница
35773710,1,,Москва
35852139,1,12.11,Москва
35876449,2,30.12.1982,Кривой Рог
35936528,2,22.7.1981,Рыбинск
35957343,1,,Находка
35957435,2,6.5,Екатеринбург
36199811,1,,Unknown
36263863,2,23.10.1979,Unknown
36296312,2,2.2.1972,Киев
36328319,1,18.4,Unknown
36468410,2,,Unknown
36497387,1,,Unknown
36527781,1,25.1,Севастополь
36808307,2,20.1.1972,Йошкар-Ола
36808880,1,17.3.1983,Арск
37161766,1,,Нефтекамск
37278109,2,,New York City
37292860,1,29.8.1901,Unknown
37294265,1,28.11.1984,Москва
37513791,1,,Омск
37548487,1,27.7,Екатеринбург
37549719,2,16.6.1982,Комсомольск-на-Амуре
37645016,1,10.2,Оренбург
37667694,1,14.3,Москва
37778520,2,,Екатеринбург
38024914,1,,Unknown
38090930,1,18.12.1992,Вавож (село)
38267364,2,1.4.1991,Ульяновск
38511079,2,19.6,Unknown
38652738,2,1.6.1992,Екатеринбург
38980995,1,,Самара
39090405,2,24.9.1993,Набережные Челны
39110911,2,14.4.1977,Михайловка
39284683,1,14.10,Набережные Челны
39550506,1,6.2.1976,Смоленск
39552238,1,,Мегион
39634800,2,23.5.1994,Москва
40202765,1,17.12,Киров
40304876,1,4.1,Unknown
40339247,1,11.4,Москва
40513180,2,27.4.1947,Реутов
40716953,2,13.1,Москва
40746240,1,6.7.1972,Сочи
40760710,1,17.6,Самара
40873764,1,7.6.1992,Лутугино
40881111,1,15.7,Unknown
40888368,1,,Unknown
40944941,2,1.9.1979,Москва
41095044,1,,Apia
41095460,2,,Unknown
41156222,1,,Unknown
41214219,1,19.3,Unknown
41274646,2,,Москва
41282011,1,29.8,Unknown
41501481,2,,Unknown
41561911,1,13.9,Тюмень
41570207,1,,Москва
41573655,2,,New Delhi
41598059,2,3.10,Санкт-Петербург
41658763,2,2.6,Москва
41701318,1,21.8.1994,Челябинск
41744862,1,,Кингисепп
41929572,2,28.1.1954,Санкт-Петербург
42106308,1,,Москва
42164499,2,26.11.1986,Unknown
42475239,2,,Unknown
42616048,2,,Харьков
42742623,1,14.1,Новосибирск
42795034,1,,Sliema
43329126,2,,Unknown
43334399,2,23.9,Одесса
43400908,1,23.7,Калининград
43439137,1,18.10,Тольятти
43502017,1,,Unknown
43609503,2,20.4,Янтарный
43636920,1,,Unknown
43688209,1,3.10,Москва
43862299,1,2.8.1917,Unknown
44170798,1,,Тверь
44467371,2,12.12.1973,Санкт-Петербург
44504982,1,12.12.1989,Unknown
44811753,1,,Unknown
45056630,2,15.11,Реутов
45058558,1,,Москва
45139984,2,1.8,Unknown
45202118,1,,Санкт-Петербург
45279203,1,,Unknown
45513757,1,17.10.1978,Санкт-Петербург
45645459,2,4.3.1988,Снежное
45905972,1,,Владикавказ
45925045,1,27.7,Омск
46175977,1,26.6.1992,Заринск
46624380,1,31.7,Санкт-Петербург
46787294,1,,Иваново (деревня)
47016419,1,29.12,Екатеринбург
47554420,1,21.2,Göteborg
47607118,1,,Харьков
48117297,2,3.2.1973,Екатеринбург
48224834,1,,Петрозаводск
48237757,1,23.3,Сморгонь
48434020,2,14.2,Москва
48520271,1,20.2,Limassol
48570349,1,,Екатеринбург
48581127,1,2.8.1986,Воронеж
48744479,2,12.11.1987,Екатеринбург
49023925,2,30.5.1985,Санкт-Петербург
49223294,1,21.9,Unknown
49294475,1,16.8.1987,Курск
49494403,2,17.12.1991,Санкт-Петербург
49561265,2,20.6.1985,Красноярск
49690559,2,20.1.1982,Нижний Новгород
49695723,2,23.2,Симферополь
49718285,1,3.11,Санкт-Петербург
49730353,1,,Unknown
49918254,1,31.7,Unknown
50113070,2,,Воскресенск
50196094,1,13.7.1963,Майкоп
50221616,1,31.1,Москва
50329142,1,,Екатеринбург
50384431,2,30.5,Unknown
50418902,2,,Unknown
50443847,2,,Unknown
50456322,2,30.11,Екатеринбург
50766177,1,15.11,Киев
51052260,1,12.3,Красногорский
51201187,2,,Unknown
51265397,2,5.3.1994,Белгород
51565363,1,22.10.1980,Самара
51770555,1,,Санкт-Петербург
51882976,2,,Тверь
51963252,1,18.2,Москва
52062592,2,6.10,Кунгур
52168101,2,17.8.1984,Екатеринбург
52170615,1,15.3,Санкт-Петербург
52252595,2,,Йошкар-Ола
52265460,1,5.9,Петрозаводск
52339326,1,24.5,Череповец
52519605,2,21.10,Вологда
52552856,1,15.3,Тюмень
52606261,1,24.3.1987,Oslo
52803593,1,7.2,Екатеринбург
52822025,2,,Пермь
52826565,1,5.5,Макеевка
53006666,2,17.3.1990,Москва
